"Samples","Conc.0","Conc.5","Conc.36","Evolved","Ancestor","X29","X23","X2935","X40","X54"
"X23_00_1",1,0,0,1,0,0,1,0,0,0
"X23_00_2",1,0,0,1,0,0,1,0,0,0
"X23_00_3",1,0,0,1,0,0,1,0,0,0
"X29_00_1",1,0,0,1,0,1,0,0,0,0
"X29_00_2",1,0,0,1,0,1,0,0,0,0
"X29_00_3",1,0,0,1,0,1,0,0,0,0
"X2935_00_1",1,0,0,0,0,0,0,1,0,0
"X2935_00_2",1,0,0,0,0,0,0,1,0,0
"X2935_00_3",1,0,0,0,0,0,0,1,0,0
"X40_00_1",1,0,0,0,1,0,0,0,1,0
"X40_00_2",1,0,0,0,1,0,0,0,1,0
"X40_00_3",1,0,0,0,1,0,0,0,1,0
"X54_00_1",1,0,0,0,1,0,0,0,0,1
"X54_00_2",1,0,0,0,1,0,0,0,0,1
"X54_00_3",1,0,0,0,1,0,0,0,0,1
"X23_05_1",0,1,0,1,0,0,1,0,0,0
"X23_05_2",0,1,0,1,0,0,1,0,0,0
"X23_05_3",0,1,0,1,0,0,1,0,0,0
"X29_05_1",0,1,0,1,0,1,0,0,0,0
"X29_05_2",0,1,0,1,0,1,0,0,0,0
"X29_05_3",0,1,0,1,0,1,0,0,0,0
"X2935_05_1",0,1,0,0,0,0,0,1,0,0
"X2935_05_2",0,1,0,0,0,0,0,1,0,0
"X2935_05_3",0,1,0,0,0,0,0,1,0,0
"X40_05_1",0,1,0,0,1,0,0,0,1,0
"X40_05_2",0,1,0,0,1,0,0,0,1,0
"X40_05_3",0,1,0,0,1,0,0,0,1,0
"X54_05_1",0,1,0,0,1,0,0,0,0,1
"X54_05_2",0,1,0,0,1,0,0,0,0,1
"X54_05_3",0,1,0,0,1,0,0,0,0,1
"X29_36_1",0,0,1,1,0,1,0,0,0,0
"X29_36_2",0,0,1,1,0,1,0,0,0,0
"X29_36_3",0,0,1,1,0,1,0,0,0,0
"X23_36_1",0,0,1,1,0,0,1,0,0,0
"X23_36_2",0,0,1,1,0,0,1,0,0,0
"X23_36_3",0,0,1,1,0,0,1,0,0,0
